edge_id,parent_entity_id,parent_entity_key,parent_name,child_entity_id,child_entity_key,child_name,relationship_type,certainty,source_id,page_number,line_number,source_ref,evidence_text,extraction_rule,wikidata_property_suggestion,privacy_review_required
EDGE_EDD3C61BE6,ENT_69D2568D6F,haider shah,Syed Haider Shah,ENT_E507D4C91F,ameer ali shah,Syed Ameer Ali Shah,father_of,high,SRC002,87,6,SRC002 p.87 line 6,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_E586AD9890,ENT_26093C15EC,qutb shah,Syed Qutb Shah,ENT_69D2568D6F,haider shah,Syed Haider Shah,father_of,high,SRC002,87,7,SRC002 p.87 line 7,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_434EB78DF7,ENT_0BBC5D8FB1,kabir shah,Syed Kabir Shah,ENT_26093C15EC,qutb shah,Syed Qutb Shah,father_of,high,SRC002,87,8,SRC002 p.87 line 8,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_6DC54058F3,ENT_A3797F23D8,sharaf uddin din shah,Syed Sharaf ud Din Shah,ENT_0BBC5D8FB1,kabir shah,Syed Kabir Shah,father_of,high,SRC002,87,9,SRC002 p.87 line 9,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_C30B6665E8,ENT_E833429C8C,shams uddin din shah,Syed Shams ud Din Shah,ENT_A3797F23D8,sharaf uddin din shah,Syed Sharaf ud Din Shah,father_of,high,SRC002,87,10,SRC002 p.87 line 10,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_1B990B15C2,ENT_F900F392FC,jahangir shah,Syed Jahangir Shah,ENT_E833429C8C,shams uddin din shah,Syed Shams ud Din Shah,father_of,high,SRC002,87,11,SRC002 p.87 line 11,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_62A5FDD86C,ENT_55369DBCA1,yar shah haider,Syed Yar Shah Haider,ENT_F900F392FC,jahangir shah,Syed Jahangir Shah,father_of,high,SRC002,87,12,SRC002 p.87 line 12,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_470A8268DA,ENT_FE1182DCC5,shah nizam,Syed Shah Nizam,ENT_55369DBCA1,yar shah haider,Syed Yar Shah Haider,father_of,high,SRC002,87,13,SRC002 p.87 line 13,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_AEA0FBBC79,ENT_3CE999689F,zainulabideen,Syed Zain ul Abideen,ENT_FE1182DCC5,shah nizam,Syed Shah Nizam,father_of,high,SRC002,87,14,SRC002 p.87 line 14,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_67738AE8A2,ENT_537D23CBF7,ilm uddin din,Syed Ilm ud Din,ENT_3CE999689F,zainulabideen,Syed Zain ul Abideen,father_of,high,SRC002,87,15,SRC002 p.87 line 15,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_245FB5CD8A,ENT_F84CE08476,jalal uddin din haider,Syed Jalal ud Din Haider,ENT_537D23CBF7,ilm uddin din,Syed Ilm ud Din,father_of,high,SRC002,87,16,SRC002 p.87 line 16,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_166FFD6F0C,ENT_6A94F5D42B,safi uddin din,Syed Safi ud Din,ENT_F84CE08476,jalal uddin din haider,Syed Jalal ud Din Haider,father_of,high,SRC002,87,17,SRC002 p.87 line 17,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_62A02B4CB4,ENT_6A49933660,nizam uddin din,Syed Nizam ud Din,ENT_6A94F5D42B,safi uddin din,Syed Safi ud Din,father_of,high,SRC002,87,18,SRC002 p.87 line 18,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_51D6A3FF4A,ENT_444122D5FB,aleem uddin din,Syed Aleem ud Din,ENT_6A49933660,nizam uddin din,Syed Nizam ud Din,father_of,high,SRC002,87,19,SRC002 p.87 line 19,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_698809F251,ENT_C45DDF5A04,jalal uddin din,Syed Jalal ud Din,ENT_444122D5FB,aleem uddin din,Syed Aleem ud Din,father_of,high,SRC002,87,20,SRC002 p.87 line 20,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_688406D22E,ENT_2C7ED1C15C,ilm uddin din bukhari,Syed Ilm ud Din Bukhari,ENT_C45DDF5A04,jalal uddin din,Syed Jalal ud Din,father_of,high,SRC002,87,21,SRC002 p.87 line 21,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
EDGE_4D82CC8F3D,ENT_805277F46A,mahmood nar nasir uddin din,Syed Mahmood Nar Nasir ud Din,ENT_2C7ED1C15C,ilm uddin din bukhari,Syed Ilm ud Din Bukhari,father_of,high,SRC002,87,22,SRC002 p.87 line 22,Syed Ameer Ali Shah ibn Syed Haider Shah ibn Syed Qutb Shah ibn Syed Kabir Shah ibn Syed Sharaf ud Din Shah ibn Syed Shams ud Din Shah ibn Syed Jahangir Shah ibn Syed Yar Shah Haider ibn Syed Shah Nizam ibn Syed Zain ul Abideen ibn Syed Ilm ud Din ibn Syed Jalal ud Din Haider ibn Syed Safi ud Din ibn Syed Nizam ud Din ibn Syed Aleem ud Din ibn Syed Jalal ud Din ibn Syed Ilm ud Din Bukhari ibn Syed Mahmood Nar Nasir ud Din ibn Syed Jalal ud Din Hussain (Makhdoom Jahanian Jahan Gasht) ibn Syed Sultan Ahmed Kabir ibn Syed Jalal ud Din Surkh Posh Bukhari ibn Syed Qutb Kamal ibn Syed Ali al-Muayyad ibn Syed Jafar ibn Syed Muhammad Bukhari ibn Syed Mahmood ibn Syed Ahmed Shah ibn Syed Abdullah ibn Syed Ali Asghar ibn Syed Jafar Sani ibn Imam Ali Naqi (AS) ibn Imam Muhammad Taqi (AS) ibn Imam Ali Raza (AS) ibn Imam Musa Kazim (AS) ibn Imam Jafar Sadiq (AS) ibn Imam Muhammad Baqir (AS) ibn Imam Zain ul Abideen (AS) ibn Imam Hussain (AS) ibn Imam Ali (AS) ibn Abu Talib ibn Abdul Muttalib (A.S),primary_ibn_chain_adjacent,P22,no
